statistic_yyy,site_id,village ,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_graduated_f,edu_doctor_ungraduated_m,edu_doctor_ungraduated_f,edu_master_graduated_m,edu_master_graduated_f,edu_master_ungraduated_m,edu_master_ungraduated_f,edu_university_graduated_m,edu_university_graduated_f,edu_university_ungraduated_m,edu_university_ungraduated_f,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_graduated_f,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_2ys_ungraduated_f,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_graduated_f,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_final2y_ungraduated_f,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_f,edu_senior_graduated_m,edu_senior_graduated_f,edu_senior_ungraduated_m,edu_senior_ungraduated_f,edu_seniorvocational_graduated_m,edu_seniorvocational_graduated_f,edu_seniorvocational_ungraduated_m,edu_seniorvocational_ungraduated_f,edu_junior_graduated_m,edu_junior_graduated_f,edu_junior_ungraduated_m,edu_junior_ungraduated_f,edu_juniorvocational_graduated_m,edu_juniorvocational_graduated_f,edu_juniorvocational_ungraduated_m,edu_juniorvocational_ungraduated_f,edu_primary_graduated_m,edu_primary_graduated_f,edu_primary_ungraduated_m,edu_primary_ungraduated_f,edu_selftaughtl_m,edu_selftaughtl_f,edu_illiterate_m,edu_illiterate_f
105,臺中市清水區,臨江里,1635,0,2,3,0,26,13,10,9,127,123,47,30,34,33,11,7,20,12,2,0,27,23,12,14,201,146,41,23,1,1,126,89,16,5,4,0,1,0,145,133,11,28,7,2,11,59
105,臺中市清水區,秀水里,4376,2,2,2,4,104,59,32,30,376,385,146,123,133,108,21,21,65,66,2,2,85,76,27,38,495,395,118,88,3,10,313,287,24,20,7,3,2,1,246,313,16,34,3,3,8,78
105,臺中市清水區,武鹿里,3440,4,1,3,1,80,44,30,10,268,300,115,83,101,94,18,16,58,48,2,4,61,60,22,35,385,297,90,61,3,9,279,242,20,12,2,2,1,0,220,218,13,37,6,3,7,75
105,臺中市清水區,海濱里,2075,1,0,1,0,17,18,6,3,127,143,67,60,41,36,11,10,21,23,1,0,46,45,23,22,241,182,76,45,1,6,168,119,15,10,2,0,2,0,179,185,13,32,3,11,6,57
105,臺中市清水區,槺榔里,4871,16,3,9,2,117,71,33,33,433,456,169,169,141,134,31,24,74,63,5,8,115,84,54,50,538,405,147,79,1,11,333,323,25,19,8,1,1,2,232,280,23,46,4,1,10,88
105,臺中市清水區,中社里,2847,6,3,1,0,73,50,27,18,296,302,69,86,118,99,32,14,73,55,3,3,69,101,22,27,297,266,75,46,5,8,120,129,24,21,2,2,0,0,55,187,2,18,0,7,1,35
105,臺中市清水區,高西里,1374,1,0,1,0,7,7,6,3,76,83,36,35,23,19,5,6,10,14,0,1,25,21,13,8,135,90,52,26,0,4,184,99,15,8,0,0,0,0,129,127,14,20,2,3,14,52
105,臺中市清水區,高南里,1452,3,1,1,1,25,15,10,6,107,94,44,42,26,17,7,7,17,13,3,1,31,21,9,9,188,99,63,23,3,1,117,121,8,7,1,0,0,0,96,104,15,19,10,8,3,56
105,臺中市清水區,高東里,1328,0,0,0,1,18,6,7,4,73,94,45,31,30,22,4,1,13,14,2,3,19,16,8,12,143,107,41,27,1,3,125,77,10,4,1,1,0,0,142,139,12,22,2,3,12,33
105,臺中市清水區,高北里,1221,0,0,2,0,13,9,2,2,72,85,25,38,22,22,5,6,14,12,3,1,20,25,15,12,103,87,46,23,0,1,171,117,9,5,0,0,0,0,94,73,11,22,4,2,9,39
105,臺中市清水區,高美里,1390,3,0,1,1,18,4,4,3,78,94,41,45,32,22,10,3,26,14,1,2,18,19,13,15,157,114,48,29,1,5,147,116,11,4,0,1,0,0,113,98,9,20,3,2,6,39
105,臺中市清水區,國姓里,2190,2,0,1,1,33,15,7,8,166,167,71,57,56,53,18,11,27,21,2,0,51,28,15,14,215,185,62,35,2,6,207,132,18,11,2,1,1,0,160,211,17,26,3,6,9,57
105,臺中市清水區,菁埔里,2353,1,3,1,2,40,15,21,8,160,189,71,73,56,44,12,4,31,26,1,4,39,33,19,27,273,200,49,37,0,5,211,174,13,12,5,0,0,0,184,187,15,42,4,2,7,53
105,臺中市清水區,頂湳里,1859,1,0,1,0,21,6,6,2,114,123,47,48,41,41,10,11,17,25,2,2,38,23,22,26,248,144,66,33,2,1,163,126,9,4,4,1,2,0,150,179,11,23,3,1,9,53
105,臺中市清水區,田寮里,2535,0,0,2,0,41,30,19,12,132,202,77,85,62,45,5,5,39,34,3,1,46,47,29,20,350,229,85,45,3,2,161,146,20,9,1,1,1,0,190,247,10,35,2,4,13,45
105,臺中市清水區,橋頭里,7509,6,3,7,4,201,101,62,31,601,635,253,228,230,250,36,28,111,122,16,14,181,127,74,82,855,670,216,136,6,15,468,530,45,41,7,6,7,0,378,497,29,68,8,12,10,102
105,臺中市清水區,下湳里,2997,3,1,5,0,55,37,17,16,229,265,102,78,55,78,15,6,63,35,3,4,72,43,31,23,382,257,77,45,3,4,173,151,24,18,3,2,0,0,208,267,14,32,1,5,10,85
